method,model_name,task_name,train_subset_size,seed,accuracy,majority_baseline,collapsed,trainable_parameters,peft_parameters,classifier_parameters,ia3_mode,elapsed_seconds,learning_rate,batch_size,max_length,warmup_ratio,max_grad_norm,bf16,num_train_epochs,seed_semantics
lora_param_matched_r12,bert-base-uncased,mrpc,1280,31,0.8161764705882353,0.6838235294117647,False,443906,442368,1538,,16.4,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_param_matched_r12,bert-base-uncased,mrpc,1280,37,0.7794117647058824,0.6838235294117647,False,443906,442368,1538,,19.1,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_param_matched_r12,bert-base-uncased,mrpc,1280,41,0.8063725490196079,0.6838235294117647,False,443906,442368,1538,,16.2,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,qnli,80,31,0.5874061870766978,0.5053999633900788,False,104450,102912,1538,,1.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,qnli,80,37,0.6267618524620172,0.5053999633900788,False,104450,102912,1538,,2.1,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,qnli,80,41,0.5698334248581366,0.5053999633900788,False,104450,102912,1538,,1.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,qnli,320,31,0.6646531209957899,0.5053999633900788,False,104450,102912,1538,,3.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,qnli,320,37,0.6683141131246568,0.5053999633900788,False,104450,102912,1538,,4.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,qnli,320,41,0.6306058941973275,0.5053999633900788,False,104450,102912,1538,,4.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,qnli,1280,31,0.7215815485996705,0.5053999633900788,False,104450,102912,1538,,13.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,qnli,1280,37,0.7338458722313747,0.5053999633900788,False,104450,102912,1538,,12.4,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,qnli,1280,41,0.6904631155043016,0.5053999633900788,False,104450,102912,1538,,12.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,qnli,80,31,0.5888705839282445,0.5053999633900788,False,132100,130560,1540,peft_native,2.5,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,qnli,80,37,0.628226249313564,0.5053999633900788,False,132100,130560,1540,peft_native,2.5,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,qnli,80,41,0.5696503752516933,0.5053999633900788,False,132100,130560,1540,peft_native,2.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,qnli,320,31,0.66684971627311,0.5053999633900788,False,132100,130560,1540,peft_native,5.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,qnli,320,37,0.6767343950210507,0.5053999633900788,False,132100,130560,1540,peft_native,5.6,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,qnli,320,41,0.6348160351455244,0.5053999633900788,False,132100,130560,1540,peft_native,5.6,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,qnli,1280,31,0.7321984257733846,0.5053999633900788,False,132100,130560,1540,peft_native,18.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,qnli,1280,37,0.7470254438952956,0.5053999633900788,False,132100,130560,1540,peft_native,18.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,qnli,1280,41,0.704374885593996,0.5053999633900788,False,132100,130560,1540,peft_native,18.4,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
